,주택관리번호,공고번호,모델번호,주택형,공급세대수,순위,거주코드,거주지역,접수건수,경쟁률,최저당첨가점,최고당첨가점,평균당첨가점
60,2020000007,2020000007,2,084.1366B,15,1,1,해당지역,0,15.0,-1.0,-1.0,-1.0
61,2020000007,2020000007,2,084.1366B,15,1,2,기타지역,0,15.0,,,
62,2020000007,2020000007,2,084.1366B,15,2,1,해당지역,2,13.0,-1.0,-1.0,-1.0
63,2020000007,2020000007,2,084.1366B,15,2,2,기타지역,1,12.0,,,
64,2020000007,2020000007,3,084.8313C,15,1,1,해당지역,0,15.0,-1.0,-1.0,-1.0
65,2020000007,2020000007,3,084.8313C,15,1,2,기타지역,0,15.0,,,
66,2020000007,2020000007,3,084.8313C,15,2,1,해당지역,0,15.0,-1.0,-1.0,-1.0
67,2020000007,2020000007,3,084.8313C,15,2,2,기타지역,1,14.0,,,
68,2020000007,2020000007,4,084.8655D,24,1,1,해당지역,1,23.0,0.0,0.0,0.0
69,2020000007,2020000007,4,084.8655D,24,1,2,기타지역,2,21.0,,,
70,2020000007,2020000007,4,084.8655D,24,2,1,해당지역,2,19.0,0.0,0.0,0.0
71,2020000007,2020000007,4,084.8655D,24,2,2,기타지역,0,19.0,,,
72,2020000009,2020000009,1,074.9100 ,43,1,1,해당지역,28,15.0,23.0,51.0,31.0
73,2020000009,2020000009,1,074.9100 ,43,1,2,기타지역,183,12.2,,,
74,2020000009,2020000009,1,074.9100 ,43,2,1,해당지역,0,,0.0,0.0,0.0
75,2020000009,2020000009,1,074.9100 ,43,2,2,기타지역,0,,,,
76,2020000009,2020000009,2,074.8900 ,22,1,1,해당지역,16,6.0,43.0,50.0,46.0
77,2020000009,2020000009,2,074.8900 ,22,1,2,기타지역,138,23.0,,,
78,2020000009,2020000009,2,074.8900 ,22,2,1,해당지역,0,,0.0,0.0,0.0
79,2020000009,2020000009,2,074.8900 ,22,2,2,기타지역,0,,,,
80,2020000010,2020000010,1,072.3007A,30,1,1,해당지역,4,5.0,10.0,20.0,17.0
81,2020000010,2020000010,1,072.3007A,30,1,2,기타지역,9,9.0,18.0,37.0,27.0
82,2020000010,2020000010,1,072.3007A,30,1,3,기타경기,8,3.0,,,
83,2020000010,2020000010,1,072.3007A,30,2,1,해당지역,5,1.67,,,
84,2020000010,2020000010,1,072.3007A,30,2,2,기타지역,20,11.0,,,
85,2020000010,2020000010,1,072.3007A,30,2,3,기타경기,24,13.0,13.0,37.0,23.0
86,2020000010,2020000010,2,075.9964A,259,1,1,해당지역,30,48.0,8.0,57.0,24.0
87,2020000010,2020000010,2,075.9964A,259,1,2,기타지역,22,167.0,8.0,61.0,25.0
88,2020000010,2020000010,2,075.9964A,259,1,3,기타경기,40,60.0,,,
89,2020000010,2020000010,2,075.9964A,259,2,1,해당지역,17,33.0,,,
90,2020000010,2020000010,2,075.9964A,259,2,2,기타지역,30,84.0,,,
91,2020000010,2020000010,2,075.9964A,259,2,3,기타경기,36,30.0,10.0,52.0,23.0
92,2020000010,2020000010,3,084.9994A,590,1,1,해당지역,38,139.0,8.0,69.0,28.0
93,2020000010,2020000010,3,084.9994A,590,1,2,기타지역,99,334.0,11.0,60.0,27.0
94,2020000010,2020000010,3,084.9994A,590,1,3,기타경기,119,138.0,,,
95,2020000010,2020000010,3,084.9994A,590,2,1,해당지역,24,76.0,,,
96,2020000010,2020000010,3,084.9994A,590,2,2,기타지역,90,111.0,,,
97,2020000010,2020000010,3,084.9994A,590,2,3,기타경기,109,34.0,8.0,59.0,27.0
98,2020000010,2020000010,4,084.9903B,206,1,1,해당지역,11,51.0,12.0,43.0,26.0
99,2020000010,2020000010,4,084.9903B,206,1,2,기타지역,49,109.0,9.0,64.0,31.0
100,2020000010,2020000010,4,084.9903B,206,1,3,기타경기,37,55.0,,,
101,2020000010,2020000010,4,084.9903B,206,2,1,해당지역,12,21.0,,,
102,2020000010,2020000010,4,084.9903B,206,2,2,기타지역,33,18.0,,,
103,2020000010,2020000010,4,084.9903B,206,2,3,기타경기,46,1.07,9.0,69.0,28.0
104,2020000028,2020000028,1,059.9842A,204,1,1,해당지역,586,2.87,30.0,63.0,39.0
105,2020000028,2020000028,1,059.9842A,204,1,2,기타지역,48,,,,
106,2020000028,2020000028,1,059.9842A,204,2,1,해당지역,0,,0.0,0.0,0.0
107,2020000028,2020000028,1,059.9842A,204,2,2,기타지역,0,,,,
108,2020000028,2020000028,2,071.3132B,86,1,1,해당지역,889,10.34,44.0,59.0,49.0
109,2020000028,2020000028,2,071.3132B,86,1,2,기타지역,55,,,,
110,2020000028,2020000028,2,071.3132B,86,2,1,해당지역,0,,0.0,0.0,0.0
111,2020000028,2020000028,2,071.3132B,86,2,2,기타지역,0,,,,
112,2020000040,2020000040,1,059.9400A,135,1,1,해당지역,10568,78.28,64.0,74.0,67.0
113,2020000040,2020000040,1,059.9400A,135,1,2,기타지역,11129,,,,
114,2020000040,2020000040,1,059.9400A,135,2,1,해당지역,0,,0.0,0.0,0.0
115,2020000040,2020000040,1,059.9400A,135,2,2,기타지역,0,,,,
116,2020000040,2020000040,2,059.8800B,67,1,1,해당지역,2901,43.3,60.0,67.0,62.0
117,2020000040,2020000040,2,059.8800B,67,1,2,기타지역,3225,,,,
118,2020000040,2020000040,2,059.8800B,67,2,1,해당지역,0,,0.0,0.0,0.0
119,2020000040,2020000040,2,059.8800B,67,2,2,기타지역,0,,,,
120,2020000040,2020000040,3,059.7800C,21,1,1,해당지역,1249,59.48,59.0,69.0,61.0
121,2020000040,2020000040,3,059.7800C,21,1,2,기타지역,1869,,,,
122,2020000040,2020000040,3,059.7800C,21,2,1,해당지역,0,,0.0,0.0,0.0
123,2020000040,2020000040,3,059.7800C,21,2,2,기타지역,0,,,,
124,2020000040,2020000040,4,074.6900A,110,1,1,해당지역,5547,50.43,64.0,71.0,66.0
125,2020000040,2020000040,4,074.6900A,110,1,2,기타지역,5067,,,,
126,2020000040,2020000040,4,074.6900A,110,2,1,해당지역,0,,0.0,0.0,0.0
127,2020000040,2020000040,4,074.6900A,110,2,2,기타지역,0,,,,
128,2020000040,2020000040,5,074.9400B,220,1,1,해당지역,10141,46.1,63.0,79.0,65.0
129,2020000040,2020000040,5,074.9400B,220,1,2,기타지역,8113,,,,
130,2020000040,2020000040,5,074.9400B,220,2,1,해당지역,0,,0.0,0.0,0.0
131,2020000040,2020000040,5,074.9400B,220,2,2,기타지역,0,,,,
132,2020000040,2020000040,6,084.9700 ,405,1,1,해당지역,40277,99.45,69.0,84.0,70.0
133,2020000040,2020000040,6,084.9700 ,405,1,2,기타지역,32155,,,,
134,2020000040,2020000040,6,084.9700 ,405,2,1,해당지역,0,,0.0,0.0,0.0
135,2020000040,2020000040,6,084.9700 ,405,2,2,기타지역,0,,,,
136,2020000040,2020000040,7,099.9000 ,92,1,1,해당지역,9819,106.73,-1.0,-1.0,-1.0
137,2020000040,2020000040,7,099.9000 ,92,1,2,기타지역,11136,,,,
138,2020000040,2020000040,7,099.9000 ,92,2,1,해당지역,0,,-1.0,-1.0,-1.0
139,2020000040,2020000040,7,099.9000 ,92,2,2,기타지역,0,,,,
140,2020000040,2020000040,8,110.1500 ,24,1,1,해당지역,1489,62.04,-1.0,-1.0,-1.0
141,2020000040,2020000040,8,110.1500 ,24,1,2,기타지역,1820,,,,
142,2020000040,2020000040,8,110.1500 ,24,2,1,해당지역,0,,-1.0,-1.0,-1.0
143,2020000040,2020000040,8,110.1500 ,24,2,2,기타지역,0,,,,
144,2020000041,2020000041,1,074.9900A,7,1,1,해당지역,15,2.14,29.0,48.0,36.0
145,2020000041,2020000041,1,074.9900A,7,1,2,기타지역,2,,,,
146,2020000041,2020000041,1,074.9900A,7,2,1,해당지역,0,,0.0,0.0,0.0
147,2020000041,2020000041,1,074.9900A,7,2,2,기타지역,0,,,,
148,2020000041,2020000041,2,074.9900B,15,1,1,해당지역,33,2.2,28.0,54.0,39.0
149,2020000041,2020000041,2,074.9900B,15,1,2,기타지역,3,,,,
150,2020000041,2020000041,2,074.9900B,15,2,1,해당지역,0,,0.0,0.0,0.0
151,2020000041,2020000041,2,074.9900B,15,2,2,기타지역,0,,,,
152,2020000041,2020000041,3,084.9900A,5,1,1,해당지역,53,10.6,54.0,54.0,54.0
153,2020000041,2020000041,3,084.9900A,5,1,2,기타지역,8,,,,
154,2020000041,2020000041,3,084.9900A,5,2,1,해당지역,0,,0.0,0.0,0.0
155,2020000041,2020000041,3,084.9900A,5,2,2,기타지역,0,,,,
156,2020000041,2020000041,4,084.9900B,41,1,1,해당지역,470,11.46,47.0,64.0,56.0
157,2020000041,2020000041,4,084.9900B,41,1,2,기타지역,58,,,,
158,2020000041,2020000041,4,084.9900B,41,2,1,해당지역,0,,0.0,0.0,0.0
159,2020000041,2020000041,4,084.9900B,41,2,2,기타지역,0,,,,
160,2020000041,2020000041,5,084.9900C,1,1,1,해당지역,3,3.0,45.0,45.0,45.0
161,2020000041,2020000041,5,084.9900C,1,1,2,기타지역,2,,,,
162,2020000041,2020000041,5,084.9900C,1,2,1,해당지역,0,,0.0,0.0,0.0
163,2020000041,2020000041,5,084.9900C,1,2,2,기타지역,0,,,,
164,2020000046,2020000046,1,075.9665 ,53,1,1,해당지역,22,31.0,8.0,74.0,27.0
165,2020000046,2020000046,1,075.9665 ,53,1,2,기타지역,8,23.0,,,
166,2020000046,2020000046,1,075.9665 ,53,2,1,해당지역,39,1.7,20.0,44.0,26.0
167,2020000046,2020000046,1,075.9665 ,53,2,2,기타지역,6,,,,
168,2020000046,2020000046,2,075.9943 ,165,1,1,해당지역,81,84.0,14.0,54.0,27.0
169,2020000046,2020000046,2,075.9943 ,165,1,2,기타지역,22,62.0,,,
170,2020000046,2020000046,2,075.9943 ,165,2,1,해당지역,146,2.35,9.0,40.0,19.0
171,2020000046,2020000046,2,075.9943 ,165,2,2,기타지역,23,,,,
172,2020000046,2020000046,3,084.8668 ,132,1,1,해당지역,374,2.83,46.0,69.0,54.0
173,2020000046,2020000046,3,084.8668 ,132,1,2,기타지역,52,,,,
174,2020000046,2020000046,3,084.8668 ,132,2,1,해당지역,0,,0.0,0.0,0.0
175,2020000046,2020000046,3,084.8668 ,132,2,2,기타지역,0,,,,
176,2020000046,2020000046,4,084.9416 ,111,1,1,해당지역,126,1.14,28.0,54.0,37.0
177,2020000046,2020000046,4,084.9416 ,111,1,2,기타지역,22,,,,
178,2020000046,2020000046,4,084.9416 ,111,2,1,해당지역,102,,0.0,0.0,0.0
179,2020000046,2020000046,4,084.9416 ,111,2,2,기타지역,15,,,,
180,2020000047,2020000047,1,049.2536I,17,1,1,해당지역,6,11.0,9.0,28.0,19.0
181,2020000047,2020000047,1,049.2536I,17,1,2,기타지역,0,11.0,,,
182,2020000047,2020000047,1,049.2536I,17,2,1,해당지역,1,10.0,0.0,0.0,0.0
183,2020000047,2020000047,1,049.2536I,17,2,2,기타지역,0,10.0,,,
184,2020000047,2020000047,2,049.6661L,8,1,1,해당지역,0,8.0,-1.0,-1.0,-1.0
185,2020000047,2020000047,2,049.6661L,8,1,2,기타지역,0,8.0,,,
186,2020000047,2020000047,2,049.6661L,8,2,1,해당지역,3,5.0,-1.0,-1.0,-1.0
187,2020000047,2020000047,2,049.6661L,8,2,2,기타지역,0,5.0,,,
188,2020000047,2020000047,3,054.7214H,25,1,1,해당지역,2,23.0,0.0,0.0,0.0
189,2020000047,2020000047,3,054.7214H,25,1,2,기타지역,0,23.0,,,
190,2020000047,2020000047,3,054.7214H,25,2,1,해당지역,1,22.0,0.0,0.0,0.0
191,2020000047,2020000047,3,054.7214H,25,2,2,기타지역,0,22.0,,,
192,2020000047,2020000047,4,059.9511A,25,1,1,해당지역,11,14.0,10.0,34.0,19.0
193,2020000047,2020000047,4,059.9511A,25,1,2,기타지역,0,14.0,,,
194,2020000047,2020000047,4,059.9511A,25,2,1,해당지역,15,1.07,0.0,0.0,0.0
195,2020000047,2020000047,4,059.9511A,25,2,2,기타지역,0,,,,
196,2020000047,2020000047,5,059.4219B,17,1,1,해당지역,0,17.0,-1.0,-1.0,-1.0
197,2020000047,2020000047,5,059.4219B,17,1,2,기타지역,0,17.0,,,
198,2020000047,2020000047,5,059.4219B,17,2,1,해당지역,1,16.0,-1.0,-1.0,-1.0
199,2020000047,2020000047,5,059.4219B,17,2,2,기타지역,0,16.0,,,
200,2020000047,2020000047,6,059.9769C,25,1,1,해당지역,8,17.0,13.0,43.0,25.0
201,2020000047,2020000047,6,059.9769C,25,1,2,기타지역,1,16.0,,,
202,2020000047,2020000047,6,059.9769C,25,2,1,해당지역,5,11.0,18.0,18.0,18.0
203,2020000047,2020000047,6,059.9769C,25,2,2,기타지역,2,9.0,,,
204,2020000047,2020000047,7,059.9754D,17,1,1,해당지역,2,15.0,0.0,0.0,0.0
205,2020000047,2020000047,7,059.9754D,17,1,2,기타지역,0,15.0,,,
206,2020000047,2020000047,7,059.9754D,17,2,1,해당지역,1,14.0,0.0,0.0,0.0
207,2020000047,2020000047,7,059.9754D,17,2,2,기타지역,0,14.0,,,
208,2020000047,2020000047,8,059.6932E,25,1,1,해당지역,4,21.0,0.0,0.0,0.0
209,2020000047,2020000047,8,059.6932E,25,1,2,기타지역,0,21.0,,,
210,2020000047,2020000047,8,059.6932E,25,2,1,해당지역,4,17.0,0.0,0.0,0.0
211,2020000047,2020000047,8,059.6932E,25,2,2,기타지역,0,17.0,,,
212,2020000047,2020000047,9,059.7679F,25,1,1,해당지역,7,18.0,9.0,57.0,29.0
213,2020000047,2020000047,9,059.7679F,25,1,2,기타지역,0,18.0,,,
214,2020000047,2020000047,9,059.7679F,25,2,1,해당지역,1,17.0,0.0,0.0,0.0
215,2020000047,2020000047,9,059.7679F,25,2,2,기타지역,1,16.0,,,
216,2020000047,2020000047,10,059.3095G,25,1,1,해당지역,6,19.0,7.0,25.0,15.0
217,2020000047,2020000047,10,059.3095G,25,1,2,기타지역,0,19.0,,,
218,2020000047,2020000047,10,059.3095G,25,2,1,해당지역,1,18.0,0.0,0.0,0.0
219,2020000047,2020000047,10,059.3095G,25,2,2,기타지역,0,18.0,,,
220,2020000047,2020000047,11,059.9269J,8,1,1,해당지역,1,7.0,0.0,0.0,0.0
221,2020000047,2020000047,11,059.9269J,8,1,2,기타지역,0,7.0,,,
222,2020000047,2020000047,11,059.9269J,8,2,1,해당지역,2,5.0,0.0,0.0,0.0
223,2020000047,2020000047,11,059.9269J,8,2,2,기타지역,0,5.0,,,
224,2020000047,2020000047,12,059.9754K,8,1,1,해당지역,3,5.0,11.0,42.0,23.0
225,2020000047,2020000047,12,059.9754K,8,1,2,기타지역,0,5.0,,,
226,2020000047,2020000047,12,059.9754K,8,2,1,해당지역,1,4.0,0.0,0.0,0.0
227,2020000047,2020000047,12,059.9754K,8,2,2,기타지역,0,4.0,,,
228,2020000052,2020000052,1,044.9690 ,36,1,1,해당지역,19,17.0,-1.0,-1.0,-1.0
229,2020000052,2020000052,1,044.9690 ,36,1,2,기타지역,3,14.0,,,
230,2020000052,2020000052,1,044.9690 ,36,2,1,해당지역,4,10.0,-1.0,-1.0,-1.0
231,2020000052,2020000052,1,044.9690 ,36,2,2,기타지역,1,9.0,,,
232,2020000052,2020000052,2,075.9870 ,28,1,1,해당지역,19,9.0,-1.0,-1.0,-1.0
233,2020000052,2020000052,2,075.9870 ,28,1,2,기타지역,1,8.0,,,
234,2020000052,2020000052,2,075.9870 ,28,2,1,해당지역,5,3.0,-1.0,-1.0,-1.0
235,2020000052,2020000052,2,075.9870 ,28,2,2,기타지역,2,1.0,,,
